"","membre"
"Afghanistan","Pays pauvres"
"Albania","Pays Occidentaux"
"Algeria","Pays en developpement "
"Angola","Pays pauvres"
"Antigua and Barbuda","Pays avec forte consommation volaille"
"Argentina","Pays avec forte consommation volaille"
"Armenia","Pays avec forte croiss. demo."
"Australia","Pays avec forte consommation volaille"
"Austria","Pays Occidentaux"
"Azerbaijan","Pays avec forte croiss. demo."
"Bahamas","Pays avec forte consommation volaille"
"Bangladesh","Pays pauvres"
"Barbados","Pays avec forte consommation volaille"
"Belarus","Pays Occidentaux"
"Belgium","Pays Occidentaux"
"Belize","Pays avec forte croiss. demo."
"Benin","Pays pauvres"
"Bolivia (Plurinational State of)","Pays avec forte consommation volaille"
"Bosnia and Herzegovina","Pays avec forte croiss. demo."
"Botswana","Pays en developpement "
"Brazil","Pays avec forte consommation volaille"
"Bulgaria","Pays avec forte croiss. demo."
"Burkina Faso","Pays pauvres"
"Côte d'Ivoire","Pays pauvres"
"Cabo Verde","Pays en developpement "
"Cambodia","Pays pauvres"
"Cameroon","Pays pauvres"
"Canada","Pays avec forte consommation volaille"
"Central African Republic","Pays pauvres"
"Chad","Pays pauvres"
"Chile","Pays avec forte consommation volaille"
"China, Hong Kong SAR","Pays Occidentaux"
"China, Macao SAR","Pays avec forte consommation volaille"
"China, mainland","Pays avec forte croiss. demo."
"China, Taiwan Province of","Pays avec forte croiss. demo."
"Colombia","Pays avec forte croiss. demo."
"Congo","Pays en developpement "
"Costa Rica","Pays avec forte croiss. demo."
"Croatia","Pays Occidentaux"
"Cuba","Pays avec forte croiss. demo."
"Cyprus","Pays avec forte croiss. demo."
"Czechia","Pays Occidentaux"
"Democratic People's Republic of Korea","Pays pauvres"
"Denmark","Pays Occidentaux"
"Djibouti","Pays pauvres"
"Dominica","Pays avec forte consommation volaille"
"Dominican Republic","Pays avec forte croiss. demo."
"Ecuador","Pays avec forte croiss. demo."
"Egypt","Pays en developpement "
"El Salvador","Pays en developpement "
"Estonia","Pays Occidentaux"
"Eswatini","Pays pauvres"
"Ethiopia","Pays pauvres"
"Fiji","Pays en developpement "
"Finland","Pays Occidentaux"
"France","Pays Occidentaux"
"French Polynesia","Pays avec forte consommation volaille"
"Gabon","Pays en developpement "
"Gambia","Pays pauvres"
"Georgia","Pays en developpement "
"Germany","Pays Occidentaux"
"Ghana","Pays pauvres"
"Greece","Pays Occidentaux"
"Grenada","Pays avec forte consommation volaille"
"Guatemala","Pays pauvres"
"Guinea","Pays pauvres"
"Guinea-Bissau","Pays pauvres"
"Guyana","Pays avec forte consommation volaille"
"Haiti","Pays pauvres"
"Honduras","Pays en developpement "
"Hungary","Pays Occidentaux"
"Iceland","Pays Occidentaux"
"India","Pays pauvres"
"Indonesia","Pays pauvres"
"Iran (Islamic Republic of)","Pays en developpement "
"Iraq","Pays pauvres"
"Ireland","Pays Occidentaux"
"Israel","Pays avec forte consommation volaille"
"Italy","Pays Occidentaux"
"Jamaica","Pays avec forte consommation volaille"
"Japan","Pays avec forte croiss. demo."
"Jordan","Pays en developpement "
"Kazakhstan","Pays avec forte croiss. demo."
"Kenya","Pays pauvres"
"Kiribati","Pays en developpement "
"Kuwait","Pays avec forte consommation volaille"
"Kyrgyzstan","Pays en developpement "
"Lao People's Democratic Republic","Pays pauvres"
"Latvia","Pays Occidentaux"
"Lebanon","Pays en developpement "
"Lesotho","Pays pauvres"
"Liberia","Pays pauvres"
"Lithuania","Pays Occidentaux"
"Luxembourg","Pays Occidentaux"
"Madagascar","Pays pauvres"
"Malawi","Pays pauvres"
"Malaysia","Pays avec forte croiss. demo."
